string,center,score
eirnldb,n,746
earldum,u,746
earntcg,c,743
eartdph,h,743
earodgb,o,742
earntoh,o,740
eartdcg,c,738
eartocb,b,738
eirtldg,g,734
eartlgp,g,733
eartodu,u,732
earntub,b,732
eartogp,g,731
eartdbh,h,729
earldcu,u,724
eirldgb,g,723
eiartom,o,722
eartgmp,p,722
erntdup,p,722
eiarnod,o,718
eiartlh,h,718
eirntlp,l,715
eiartmb,b,715
erntlod,l,714
eirntoh,h,714
eartomb,b,711
ertodcu,u,709
eartlup,u,707
eartdmh,h,707
earodgp,o,706
earndgb,b,706
eirntgh,h,706
eiardch,h,706
earntpb,p,701
eartloh,h,699
eartlcg,c,698
eirtdcm,c,698
eiarntu,u,697
eartdgh,h,697
eartcmp,m,696
eirtdcm,m,696
earntum,u,693
eirntum,u,693
earntcu,u,692
earntup,u,691
eiarnog,o,687
eiarodc,o,685
eirntup,u,684
earodgm,o,680
eardgum,u,675
eiartgb,g,675
erlodcp,c,672
ernlodp,n,671
eartdum,u,670
eiardcg,g,668
eartcmh,m,665
eirntdb,b,665
eirntou,u,664
earndcm,c,663
earntgu,u,661
eartlgu,u,659
erntodg,g,658
eartoph,h,651
eartlbh,h,650
eardgmp,p,650
earntub,u,648
eartdpb,b,648
eartdgu,u,648
eardgmb,b,648
eirntcg,c,644
earntou,u,642
eartlcg,g,640
eartcmp,c,637
eiarodp,o,632
eiarnth,h,631
eartlum,u,624
eartdub,u,621
earntgb,b,620
eiardpb,b,620
earldcg,c,617
eiartgp,g,616
eirntgb,b,613
erntodh,h,612
earntmb,b,611
eartlph,h,610
earntcb,b,600
eartgmp,g,594
eartoup,u,594
eartump,u,592
eartopb,b,582
earntlh,h,573
earntoh,h,567
eiarldh,h,563
earndcg,c,558
eiartph,h,558
eartcbh,b,555
eiartmh,h,553
earntph,h,550
earntmh,h,529
eiarngu,u,525
eiartpb,b,522
eiartcg,g,521
eiartcu,u,518
earldbh,h,499
eirndcg,c,497
eiarldu,u,493
eirntdh,h,469
eiartlu,u,462
earndgh,h,433
earldph,h,431
earntgh,h,428
earntpb,b,422
eiartdu,u,399
eiartup,u,392
eirndgh,h,392
